id	tipo	pt	yrl	flags
art7.caput.inc28	inciso	seguro contra acidentes de trabalho, a cargo do empregador, sem excluir a indenização a que este está obrigado, quando incorrer em dolo ou culpa;	Pitasúka mais ramẽ imuraákí upé upitá muraákí yaára irũ aápe ũbá upuderi uyuka isui sikuyaára mairamẽ puxuera usasá Irupí;	
art7.caput.inc29	inciso	ação, quanto aos créditos resultantes das relações de trabalho, com prazo prescricional de cinco anos para os trabalhadores urbanos e rurais, até o limite de dois anos após a extinção do contrato de trabalho;	muraákí rikuyaára reséwa urikútê pu akayu yupitásúka purákisá-ita supé uikú waitá Tetãma upé asui tẽdá-itá rupí upuderi usasá mukũi akayu usẽmu rire imuraákí sui;	
art7.caput.inc30	inciso	proibição de diferença de salários, de exercício de funções e de critério de admissão por motivo de sexo, idade, cor ou estado civil;	saisú ramẽ sikuyaára aãmurupí muraákísa rupí asui yumukamẽsá rupí akayu tipitigasá rupí u uikúsá;	
art7.caput.inc31	inciso	proibição de qualquer discriminação no tocante a salário e critérios de admissão do trabalhador portador de deficiência;	saisusá purunkita seésé puxuwera kuá purakisá matiriwa;	razao_comprimento_atipica
art7.caput.inc32	inciso	proibição de distinção entre trabalho manual, técnico e intelectual ou entre os profissionais respectivos;	saisú yumuruayana muraákí upé kuásá asui aãmũ purakisa tairũ;	
art7.caput.inc33	inciso	proibição de trabalho noturno, perigoso ou insalubre a menores de dezoito e de qualquer trabalho a menores de dezesseis anos, salvo na condição de aprendiz, a partir de quatorze anos;	saisú muraákí pituna ramẽ yawáite u iwasú tasúpé kuá-itá ũbawarê tarikú musapiri pu musapiri akayu asui mayêwãtu muraákí tasúpé kuá-itá ũbawaárê tarikú musapiri pu yepé ayũté mairamẽ uyũbué uikú, urikú ramẽana mukũi pu irũdí akayu;	
art7.caput.inc34	inciso	igualdade de direitos entre o trabalhador com vínculo empregatício permanente e o trabalhador avulso.	yepéwasú direitu purakisá tasúpé muraákí upé asui purakisá aãmutéwa.	
art7.pu	paragrafo	São assegurados à categoria dos trabalhadores domésticos os direitos previstos nos incisos IV, VI, VII, VIII, X, XIII, XV, XVI, XVII, XVIII, XIX, XXI, XXII, XXIV, XXVI, XXX, XXXI e XXXIII e, atendidas as condições estabelecidas em lei e observada a simplificação do cumprimento das obrigações tributárias, principais e acessórias, decorrentes da relação de trabalho e suas peculiaridades, os previstos nos incisos I, II, III, IX, XII, XXV e XXVIII, bem como a sua integração à previdência social.	Yupitásúka purakisa reséwaára ta direitu uikúwa ike insisu IV VI VII, VIII, X, XIII, XV, XVI, XVII, XVIII, XIX, XXI, XXII, XIV, XVI, XXX, XXXI asui XXXIII uikúwa suãtisá upé, tarikuté tamũyã SESEWÁRA, aé retéwa asui maãnũgára muraákí reséwaára asui maã ita uikú waitá ike insisu I, II, IX, XII, XXV asui XXVIII mayê uikúwa umuyãsá payẽ upé.	
art9.caput	caput	É assegurado o direito de greve, competindo aos trabalhadores decidir sobre a oportunidade de exercê-lo e sobre os interesses que devam por meio dele defender.	yupitásúka direitu pitusá resé aápe upurákisá-ita tarikuté taparawaáka tamaã maĩta tarikuté tapuraki asui maãnũgára resé tarikuté tapitasúka;	
art9.par1	paragrafo	A lei definirá os serviços ou atividades essenciais e disporá sobre o atendimento das necessidades inadiáveis da comunidade.	Suãtisá ũbeu teresé kuá muraákítá asui uxari umuyakũta arã mayêwa tẽdá ũbá upuderi usasá yawéntu.	
art9.par2	paragrafo	Os abusos cometidos sujeitam os responsáveis às penas da lei.	Awá umuyãwá puxuwera suãtisá umpuraáraká.	
art10.caput	caput	É assegurada a participação dos trabalhadores e empregadores nos colegiados dos órgãos públicos em que seus interesses profissionais ou previdenciários sejam objeto de discussão e deliberação.	Yupitásúka purákisá-ita asui umuyãsáita muraákí tasúpé tawike arã yũbesá ruka tarupí mamẽ tareséwaára u taikúsa upé uyupurunkita asui yumusãi;	
art11.caput	caput	Nas empresas de mais de duzentos empregados, é assegurada a eleição de um representante destes com a finalidade exclusiva de promover-lhes o entendimento direto com os empregadores.	Muraákí ruka upé usasá ramẽ duentu puraki waitá tarikuté taparawaáka yepé tasúiwaára ukuntai arã tarupí satãbika muraákí yaára tairũ;	
art12.caput	caput	São brasileiros:	Braziu waára waitá:	
art12.caput.inc1	inciso	natos:	retéwa-ita:	razao_comprimento_atipica
art12.caput.inc1.a	alinea	os nascidos na República Federativa do Brasil, ainda que de pais estrangeiros, desde que estes não estejam a serviço de seu país;	unaseriwa-ita braziu upé asui aãmu tetãma suiwaárawa-ita yuiri tiramẽ tamũyã taikú muraákí taretama supéarã;	
art12.caput.inc1.b	alinea	os nascidos no estrangeiro, de pai brasileiro ou mãe brasileira, desde que qualquer deles esteja a serviço da República Federativa do Brasil;	unaseriwa-ita aãmu tetãma upé mã aĩtá paya u ta mãya braziupura tapuraki ramẽ braziu rupí;	
art12.caput.inc1.c	alinea	os nascidos no estrangeiro de pai brasileiro ou de mãe brasileira, desde que sejam registrados em repartição brasileira competente ou venham a residir na República Federativa do Brasil e optem, em qualquer tempo, depois de atingida a maioridade, pela nacionalidade brasileira;	unaseriwa-ita aãmu tetãma upé tarikú ramẽ tarera braziu upé u taikú ramẽ braziu upé asui taparawaáka ramẽ taikú aárama braziu upé tamusasá ramẽ musapipu musapiri akayu;	
art12.caput.inc2	inciso	naturalizados:	ikewárawãnawa-ita:	
art12.caput.inc2.a	alinea	os que, na forma da lei, adquiram a nacionalidade brasileira, exigidas aos originários de países de língua portuguesa apenas residência por um ano ininterrupto e idoneidade moral;	awá-ita suãtisá rupí tapisika ramẽ taikuarã braziu upé, uyupurãduwa kuá-itá tetãma waáraita rupi, ainta tarikutê taiku ike braziu upé yepé akayu pura;	
art12.caput.inc2.b	alinea	os estrangeiros de qualquer nacionalidade residentes na República Federativa do Brasil há mais de quinze anos ininterruptos e sem condenação penal, desde que requeiram a nacionalidade brasileira.	payẽ mayêwa suiwaára-ita uikúwa-ita braziu upé usasá kinze akayu ũbá yamã muapatukasá taputari ramẽ suúpiwa braziu purãaĩtá;	
art12.par1	paragrafo	Aos portugueses com residência permanente no País, se houver reciprocidade em favor de brasileiros, serão atribuídos os direitos inerentes ao brasileiro, salvo os casos previstos nesta Constituição.	Purtugal waára-ita supé uikú waitã tetãma upé aikué ramẽ mãduaisa purãga braziupúra tarupí tasú tarikú direitu taikúsa mayê ũbeueu mũdusáwa turusúwa upé.	
art12.par2	paragrafo	A lei não poderá estabelecer distinção entre brasileiros natos e naturalizados, salvo nos casos previstos nesta Constituição.	Suãtisá ũbá upuderi umuyã aãmurupísa braziupúra retéwa asui usikantuwa irũ mayê ũbeu kuá mũdusáwa turusúwa.	
art12.par3	paragrafo	São privativos de brasileiro nato os cargos:	kuá braziupúra ita Tarikuté tapuraki:	
art12.par3.inc1	inciso	de Presidente e Vice-Presidente da República;	Prezidẽti asui vice prezidẽti braziu yaára;-	
art12.par3.inc2	inciso	de Presidente da Câmara dos Deputados;	deputadu taruka Prezidẽti upé;	
art12.par3.inc3	inciso	de Presidente do Senado Federal;	senadu federau Presidẽti;	
art12.par3.inc4	inciso	de Ministro do Supremo Tribunal Federal;	Ministru turusú piri waá tribunau federau;	
art12.par3.inc5	inciso	da carreira diplomática;	Muraákí papéra, rupí;	
art12.par3.inc6	inciso	de oficial das Forças Armadas;	Tuxawá suraára-ita supé;	
art12.par3.inc7	inciso	de Ministro de Estado da Defesa.	Ministru tetãma suãtisá;	
art12.par4	paragrafo	Será declarada a perda da nacionalidade do brasileiro que:	ũbá wana kuri yuseruka braziupúra awá mairamẽ:	
art12.par4.inc1	inciso	tiver cancelada sua naturalização, por sentença judicial, em virtude de atividade nociva ao interesse nacional;	uxari ramẽ mamẽ uikúwa juiz ukuása rupí umuyã ramẽ muraákí puxuwera tetãma supé aáraã;	
art12.par4.inc2	inciso	adquirir outra nacionalidade, salvo nos casos:	usú ramẽ aãmu tetãma kití ayũté;	
art12.par4.inc2.a	alinea	de reconhecimento de nacionalidade originária pela lei estrangeira;	takuá ramẽ mãsuiwaára aé suãtisá rupiá aãmu tetãma sui;	
art12.par4.inc2.b	alinea	de imposição de naturalização, pela norma estrangeira, ao brasileiro residente em Estado estrangeiro, como condição para permanência em seu território ou para o exercício de direitos civis.	uyusã arã aápe waára aãmu tetãma papéra upé braziupúra supé upuderi aárama uikú aãmu tetãma upé u umuyã muraákí direitu resé;	
art13.caput	caput	A língua portuguesa é o idioma oficial da República Federativa do Brasil.	braziu upé Yẽga retéwa aé português yẽga;	
art13.par1	paragrafo	São símbolos da República Federativa do Brasil a bandeira, o hino, as armas e o selo nacionais.	Braziu rãgá-ita kuá bãdera, yẽgaisá, mukáwa-ita asui uyaisa-ita;	
art13.par2	paragrafo	Os Estados, o Distrito Federal e os Municípios poderão ter símbolos próprios.	Tetãma miri-ita, distritu federau asui TETÃMA-ITA tarikutê tarikú tarãgawá mukamẽsá aĩtá tayaára waáté;	
art14.caput	caput	A soberania popular será exercida pelo sufrágio universal e pelo voto direto e secreto, com valor igual para todos, e, nos termos da lei, mediante:	Kirĩbasá arã miíra-itá usú kuri uyumuyã payẽ awá supé, parawaákasá rupí asui kiririsá rupí asui sikuyaára yepéwasú payẽ awá supé mayê ũbeu kuá suãtisá upé:	
art14.caput.inc1	inciso	plebiscito;	yaátirisá	
art14.caput.inc2	inciso	referendo;	parawaákasá;	
art14.caput.inc3	inciso	iniciativa popular.	payẽ mãduaisá	
art14.par1	paragrafo	O alistamento eleitoral e o voto são:	muapika paárawaka rupiá asui parawaáka arã aĩtá;	
art14.par1.inc1	inciso	obrigatórios para os maiores de dezoito anos;	ayũté urikú waitá musapiripu musapiri akayu;	
art14.par1.inc2	inciso	facultativos para:	muraákí tasúpé:	
art14.par1.inc2.a	alinea	os analfabetos;	Ũbá waitá ukuá;	
art14.par1.inc2.b	alinea	os maiores de setenta anos;	Usasáwa setenta akayu;	
art14.par1.inc2.c	alinea	os maiores de dezesseis e menores de dezoito anos.	Usasáwa dezuitu akayu, asui dezuitu akayu iwíra kití;	
art14.par2	paragrafo	Não podem alistar-se como eleitores os estrangeiros e, durante o período do serviço militar obrigatório, os conscritos.	Ũbá tapuderi yumuapika parawaáka arã aãmu tetãma suiwa-ita úri asui, suraára pukusá aé asui uwikéware uikú suraára arã;	
art14.par3	paragrafo	São condições de elegibilidade, na forma da lei:	Upuderiarã uwiké leytuarã aé suãtisá rupí:	
art14.par3.inc1	inciso	a nacionalidade brasileira;	Braziupurawára ramẽ aé;	
art14.par3.inc2	inciso	o pleno exercício dos direitos políticos;	ukuáwá pulitiku direitu-ita resé;	
art14.par3.inc3	inciso	o alistamento eleitoral;	urikú papéra parawaákasá rupiáára;	
art14.par3.inc4	inciso	o domicílio eleitoral na circunscrição;	ikewaáte uparawaáka arã;	
art14.par3.inc5	inciso	a filiação partidária;	yumuapika patidu irũ;	
art14.par3.inc6	inciso	a idade mínima de:	turususá iyaákayú umuyãarã:	
art14.par3.inc6.a	alinea	trinta e cinco anos para Presidente e Vice-Presidente da República e Senador;	prezidẽti arã, vise prezidenti asui senadur arã, tariku te tariku trĩta i sĩku akayu;	
art14.par3.inc6.b	alinea	trinta anos para Governador e Vice-Governador de Estado e do Distrito Federal;	guvernadu arã asui vise guvernadu asui distritu federal pura arã aé tenki uriku trĩta akayú;	
art14.par3.inc6.c	alinea	vinte e um anos para Deputado Federal, Deputado Estadual ou Distrital, Prefeito, Vice-Prefeito e juiz de paz;	usẽmuarã deputadu federau, deputadu istaduauu distrital, prefeito vise prefeito asui juiz arã tarikutê tariku Irũdi pu yepé akayú;	
art14.par3.inc6.d	alinea	dezoito anos para Vereador.	musapiri pu musapiri akayu vereador tasúpéarã;	
art14.par4	paragrafo	São inelegíveis os inalistáveis e os analfabetos.	Puxuwera kuá-itá ũbawaitá yumuapika asui ũbawaitá ukuawa;	
art14.par5	paragrafo	O Presidente da República, os Governadores de Estado e do Distrito Federal, os Prefeitos e quem os houver sucedido ou substituído no curso dos mandatos poderão ser reeleitos para um único período subsequente.	Kuá prezidẽti guvernadur ita tetãma yaáraita asui distritu federau prefeituita u awár ramẽ, upitá tarikúyaára tapuderi tasú taparawaáka aĩtá aãmu akayu ruiaára;	
art14.par6	paragrafo	Para concorrerem a outros cargos, o Presidente da República, os Governadores de Estado e do Distrito Federal e os Prefeitos devem renunciar aos respectivos mandatos até seis meses antes do pleito.	Taputari ramẽ aãmũ muraákí prezidẽti guvernadur tetãma miri yaára asui distitu fedral asui prefeito tarikuté taxari taãmuraákí pu yepé yaási rẽderê;	
art14.par7	paragrafo	São inelegíveis, no território de jurisdição do titular, o cônjuge e os parentes consanguíneos ou afins, até o segundo grau ou por adoção, do Presidente da República, de Governador de Estado ou Território, do Distrito Federal, de Prefeito ou de quem os haja substituído dentro dos seis meses anteriores ao pleito, salvo se já titular de mandato eletivo e candidato à reeleição.	ũba ta puderi tayuelegeri kua-itá uikúwa maã aé retéwa irũ urikúwa suwi, iyaánama waaté u umukiriaiwa, prezidẽti, guvernadur,a u iwí yaára, distritu federau prefeito u awá upitá sikuyaára pu yepé sudere ayũté mairam,e taxari ee taparawaáka arã;	
art14.par8	paragrafo	O militar alistável é elegível, atendidas as seguintes condições:	suraára upuderi uyuelegeri upuraki pukusá uiku, ayũte iwíke kuayêramẽ:	
art14.par8.inc1	inciso	se contar menos de dez anos de serviço, deverá afastar-se da atividade;	urikú ramẽ mirixĩga mukũipu imuraákí upé, aé urikútê usẽmu aásui;	
art14.par8.inc2	inciso	se contar mais de dez anos de serviço, será agregado pela autoridade superior e, se eleito, passará automaticamente, no ato da diplomação, para a inatividade.	usasá ramẽ mukũipu imuraákí upé usú upitá iruixáwairũ usasáramẽ aápe urikútê upuraki mayê ipapéraita umũdu;	
art14.par9	paragrafo	Lei complementar estabelecerá outros casos de inelegibilidade e os prazos de sua cessação, a fim de proteger a probidade administrativa, a moralidade para o exercício do mandato, considerada a vida pregressa do candidato, e a normalidade e legitimidade das eleições contra a influência do poder econômico ou o abuso do exercício de função, cargo ou emprego na administração direta ou indireta.	suãtisá upé uxari aãmuita puxuwera waitá resé tamarã taresewára tapuderi arã tapitasúka muraákí upuderiarã upuraki mayêtê seésé kuá kãdidatu asui papéra purãgawá parawaákasá resé isui kuá kirĩbawasá ekunũmiku u puxisá muraákí upé mamẽ upurakí u muraákí muakũtasá rupí;	
art14.par10	paragrafo	O mandato eletivo poderá ser impugnado ante a Justiça Eleitoral no prazo de quinze dias contados da diplomação, instruída a ação com provas de abuso do poder econômico, corrupção ou fraude.	mũdusá parawaákasá resé upuderi taãmukayẽmu justisa eleyturau rendere mukui pu yepé pu yupapaiwa papéra upé mamẽ beuwa seésé kuá puxuwera waitá kirĩbasá rupí mudasá umkanhemusa;	
art14.par11	paragrafo	A ação de impugnação de mandato tramitará em segredo de justiça, respondendo o autor, na forma da lei, se temerária ou de manifesta má-fé.	Yumimi ramẽ muraákí usú usasá kiririsa rupí justisa irũ aápe umuyãsá usúaxaára suãtisá rupí awáite ramẽ mukame puxi;	
art14.par12	paragrafo	Serão realizadas concomitantemente às eleições municipais as consultas populares sobre questões locais aprovadas pelas Câmaras Municipais e encaminhadas à Justiça Eleitoral até 90 (noventa) dias antes da data das eleições, observados os limites operacionais relativos ao número de quesitos.	yumuyã aáramẽte parawaákasá purãdusá miíra-itá asui mamẽarã yumuyã usasáwa kãmaára tẽdawayaára waá rupí asui urikútê usika justisa eleyturau upé nuvẽta aára parawaákasá rũderê aápe yumiakũta usiíkasá purãdusá seésé;	
art14.par13	paragrafo	As manifestações favoráveis e contrárias às questões submetidas às consultas populares nos termos do § 12 ocorrerão durante as campanhas eleitorais, sem a utilização de propaganda gratuita no rádio e na televisão.	Purũgitásá Irupí asui suaxaára kuá sesewára-ita purãdusá miíra-itá sui uikúwa § 12 upé usú yumuyã mairamẽ tapurũgitá parawaákasá resé ũbá tapuderi tapurũgitá radio rupiá sui televisã;	
art15.caput	caput	É vedada a cassação de direitos políticos, cuja perda ou suspensão só se dará nos casos de:	Yumusikĩdá sikaisá direitu pulitiku mairamẽ ukayẽmu u utirika uyumeẽ kurí mairamẽ:	
art15.caput.inc1	inciso	cancelamento da naturalização por sentença transitada em julgado;	Tãbáwa uikusá resé uikúwa muyakũtasá upé;	
art15.caput.inc2	inciso	incapacidade civil absoluta;	ũbá rameã upuderi upuraáki payẽ mãmẽ;	
art15.caput.inc3	inciso	condenação criminal transitada em julgado, enquanto durarem seus efeitos;	usú upitá upurará urikú pukusá uikú ipuxuwerasá;	
art15.caput.inc4	inciso	recusa de cumprir obrigação a todos imposta ou prestação alternativa, nos termos do art. 5º, VIII;	ũbawa uputai umuyã mayê tãbeuwa u mãnũgarãtu ũbeuwa art. 5º VIII;	
art15.caput.inc5	inciso	improbidade administrativa, nos termos do art. 37, § 4º.	umuyãsá saisusá rupí ũbeu ike art. 37 §4º.	
art17.caput	caput	É livre a criação, fusão, incorporação e extinção de partidos políticos, resguardados a soberania nacional, o regime democrático, o pluripartidarismo, os direitos fundamentais da pessoa humana e observados os seguintes preceitos:	upuderi uyumukiriari, yumunusuka, uyumuikesá, yumunaisá asui upáwasá kua partidu-itá uyumuyakũta sesewaára kua tetãma rupí purãgasá rupí siíyasa yumuyakũta seésé kuáye:	
art17.caput.inc1	inciso	caráter nacional;	ikewaára waáté;	
art17.caput.inc2	inciso	proibição de recebimento de recursos financeiros de entidade ou governo estrangeiros ou de subordinação a estes;	ũbá upuderi upisika sikuyaára ẽtidadi ta súi u guvernu-ita sui, aãmu tetãma suiwaára u aãmuita rupí;	
art17.caput.inc3	inciso	prestação de contas à Justiça Eleitoral;	ũbeu maã umuyã justisa eleyturau supé;	
art17.caput.inc4	inciso	funcionamento parlamentar de acordo com a lei.	parlamẽtu urikútê yupraki mayê ũbeu kuá suãtisá;	
art17.par1	paragrafo	É assegurada aos partidos políticos autonomia para definir sua estrutura interna e estabelecer regras sobre escolha, formação e duração de seus órgãos permanentes e provisórios e sobre sua organização e funcionamento e para adotar os critérios de escolha e o regime de suas coligações nas eleições majoritárias, vedada a sua celebração nas eleições proporcionais, sem obrigatoriedade de vinculação entre as candidaturas em âmbito nacional, estadual, distrital ou municipal, devendo seus estatutos estabelecer normas de disciplina e fidelidade partidária.	yupitásúka partidu pulitiku tasúpé tapuderi arã tamũyã muraákí asui tamũyã papéra mayêarã tapuraki muatirisa asui kupukusá uikú asui kutaára rupiáára asui yumukaáturusá asui purakisa asui mayêwa taparawaáka murakí rupiá asui mayêwa kuligasãu tawiké parawaákasá rupiáára ũbá upudê uiku parawaákasá turusú ramẽ upé, ũbá maãrã tawike aãmu kãdidatu-ita nasiunau, istaduau, distritau u Tẽdáwa aápe tarikuté tapapéra upé ũbeu maĩta muraákí resé asui taikúsá partidu irũ;	
art17.par2	paragrafo	Os partidos políticos, após adquirirem personalidade jurídica, na forma da lei civil, registrarão seus estatutos no Tribunal Superior Eleitoral.	partidu pulitiku-itá mairamẽ tarikúãna tarera supisá juiz irũ suãtisá rupí aápe tasú taãmuapika tapapéra tribunau superiú rejiunau upé;	
art17.par3	paragrafo	Somente terão direito a recursos do fundo partidário e acesso gratuito ao rádio e à televisão, na forma da lei, os partidos políticos que alternativamente:	ayũté awá urikú direitu partidu rupí asui takũtai radiu upé asui televisãu suãtisá rupí partidu pulitiku-itá kuayê:	
art17.par3.inc1	inciso	obtiverem, nas eleições para a Câmara dos Deputados, no mínimo, 3% (três por cento) dos votos válidos, distribuídos em pelo menos um terço das unidades da Federação, com um mínimo de 2% (dois por cento) dos votos válidos em cada uma delas; ou	urikúwa parawaákasá kãmaára deputadu-ita supé arã urikúwa 3% (musapiri pursẽtu) vutu uvaleriwa yumusãi yepé tersu uka federasãu tarupí mayê kuáirasá 2% (mukũi pursẽtu vutu uvaleriwa payẽ aĩtá upé; u	
art17.par3.inc2	inciso	tiverem elegido pelo menos quinze Deputados Federais distribuídos em pelo menos um terço das unidades da Federação.	parawaáka ramẽ kinze deputadu federau tayumusãi yepé tersu uúka-ita federasãu tarupí;	
